,1_0,1_1,1_2,1_3,1_4,1_5,1_6,1_7,1_8,1_9,0_0,0_1,0_2,0_3,0_4,0_5,0_6,0_7,0_8,0_9
[0.5 0.5]_[0.6 0.4]_[0.5 0.5],0.4844287289147481,0.0,-0.1551608955075555,-0.0299999999999999,0.0,0.0,-1.025676293730542,-0.6513517470124763,0.0,0.0,0.0,0.0,0.2484862243813296,0.045719030669800875,0.45030525107182157,-0.4443950185315383,0.0,0.0,0.0,0.22895396641252763
[0.4 0.6]_[0.3 0.7]_[0.6 0.4],1.0495538270395297,0.0,0.24484376174724778,0.3302999747853019,-0.335796745700446,0.07954336603257672,0.0,-0.6580971300801138,0.0,0.0,0.0,0.1021306746280527,0.2741902069845129,0.12442473875756527,-0.3152498796620774,0.14705100936317428,-1.049534390196571,0.0,0.0,-1.5771121132974866
[0.7 0.3]_[0.9 0.1]_[0.4 0.6],0.5128020436877304,0.0,0.0,0.3520389572869072,0.4409053838201923,0.0,2.562987406188841,0.135877172207982,0.0,0.0215908731812092,0.13823030823438737,0.0,-0.18803030867288778,0.0,0.8249534802854758,-0.4643653764066274,-0.4907665637875292,0.0,0.0,0.3743490443591597
[0.3 0.7]_[0.1 0.9]_[0.3 0.7],0.5613939950741778,0.0,0.0,-0.1264764639683492,0.0,0.0,0.0,-0.6389494959682529,-0.9553454076563888,-0.17225292481185772,0.0126534251350517,0.1448095162767343,0.0,-0.295108069265278,0.0,0.0,-0.5509805773171449,0.5210447169569218,0.1503573923064362,0.1207249826048226
[0.5 0.5]_[0.7 0.3]_[0.3 0.7],0.5208472666652476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7638756266741125,0.0,0.0,0.0,0.24212118117536421,-0.25627939235499325,0.0,0.0,0.0,0.0,0.0,0.0
[0.7 0.3]_[0.9 0.1]_[0.7 0.3],0.5025989366060802,0.0,0.24601914351033227,0.3554465016775603,0.0,0.34688949136166447,0.0,-0.8787671789271072,0.234744019499184,-0.8999775992222461,0.09937260134824874,0.1033919769001038,0.092520357445015,0.2886775971390247,-0.5890164131607121,-0.46072701666957905,0.0,-0.6144915056790553,-1.4190699599453458,0.1143167884595877
[0.5 0.5]_[0.5 0.5]_[0.3 0.7],0.5029728933679531,-0.026253874153992097,0.0,0.0,0.0,0.1372608221907877,0.0,0.0,0.0,-0.8330402368538343,0.0,0.08449766864868757,0.0,0.34229885372602803,0.45003048465369244,0.0,-0.554364417107139,0.0,0.0,0.4751257989858497
[0.4 0.6]_[0.2 0.8]_[0.8 0.2],0.3623399884963174,0.0,0.16170037427412787,0.0,0.0,0.0088984933834093,0.0,0.0,-0.7600756783302115,-0.5942735280981707,0.38934855626125253,-0.04600916427273936,0.0,0.0,1.8646278608302247,-0.46691400951963113,-0.5490524763255155,0.0,0.0,0.0
[0.3 0.7]_[0.1 0.9]_[0.4 0.6],0.49779725470061353,-0.0075604006744938,0.0,0.0,0.026747448498202098,0.27273669914915155,0.0,0.0,0.0,0.0,0.1340566911501489,-0.0739541605747007,-0.1994129736248,0.3548199166618676,-0.20165556244926425,0.0,-0.5534808730271322,-0.668963859830914,-1.4673626786692602,-0.9281495666668087
[0.5 0.5]_[0.4 0.6]_[0.5 0.5],0.556957506494011,0.0,0.0,0.0,0.0,0.0,-0.1454813236193888,0.0,0.0,0.0,0.0,-0.04759441268107765,0.0,0.0,-0.35516636914249244,0.0,-0.2190460679834979,0.0,-0.7404120477834029,0.0
[0.7 0.3]_[0.8 0.2]_[0.9 0.1],0.2450068582027622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.17731175711475156,0.0,0.0,0.0,-0.5283389136681457,0.0,4.617119866766284,0.0
[0.7 0.3]_[0.8 0.2]_[0.5 0.5],0.5869116142474894,-0.04235947756921195,-0.08463654959976061,0.10412901477749614,0.0,0.19207125073768294,0.0,-0.30289663110885073,-1.494383563844162,-1.3167916570979208,0.10419219825709503,0.0,0.2994389455679551,0.2047043190486797,-0.14733302110868063,-0.13631050474401663,-0.4841906426510609,-1.1001032241392372,-0.5921587653524565,-0.18144529907997375
[0.3 0.7]_[0.1 0.9]_[0.7 0.3],0.7265572650582282,0.0,0.0,0.0,0.0,0.5469688469220328,0.0,0.0,0.2308587941656688,-0.0006173017879005,0.0,-0.04734941716750149,0.2603637249223404,0.0,-0.3336375601836263,-0.3916219704251632,0.3661881654551281,0.0,0.0,0.0
[0.2 0.8]_[0.1 0.9]_[0.4 0.6],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.565498182319079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15353160129357724
[0.6 0.4]_[0.8 0.2]_[0.7 0.3],0.5224544096466798,0.0,0.2217168443881209,-0.49600108461147807,0.0,0.0,-0.0576559515299999,-0.6500392798713239,0.0,-1.6625198408169188,0.0,-0.0481531831967063,0.0,-0.2559010028374091,-0.3996799204733705,0.0,0.6415905537941482,3.6768808045493317,0.01575657974660072,-0.8805046779452589
[0.3 0.7]_[0.2 0.8]_[0.5 0.5],0.7164700386603343,0.5226915954602874,0.13244185900933228,-0.49935727529077456,0.189416589530022,0.11183881308202959,0.14589750759595044,-0.6599088801184926,0.42350598574459025,-0.0484470307996675,0.0,0.1398181032550949,0.0,0.10728528632501516,-0.3543094034736478,0.4284475244430538,-0.7587943315058034,-0.17087020856189505,-0.869230677312065,1.0647276081826407
